Date,Title,Url
"Oct 26, 2018",Google reveals 48 employees fired for sexual harassment,https://www.japantimes.co.jp/news/2018/10/26/business/tech/google-reveals-48-employees-fired-sexual-harassment/
"Oct 26, 2018",Water out of thin air: California couple's device wins $1.5 million XPrize,https://www.japantimes.co.jp/news/2018/10/26/business/tech/water-thin-air-california-couples-device-wins-1-5-million/
"Oct 26, 2018","AI art: Algorithm-generated portrait fetches $432,500 at NY auction: Christie's",https://www.japantimes.co.jp/news/2018/10/26/business/tech/ai-art-algorithm-generated-portrait-fetches-432500-ny-auction-christies/
"Oct 24, 2018",Tokyo researchers’ Paper Digest makes academic jargon a cinch,https://www.japantimes.co.jp/news/2018/10/24/business/tech/tokyo-researchers-paper-digest-makes-academia-jargon-cinch/
"Oct 24, 2018","Amazon pitched facial recognition to ICE to monitor immigrants amid misgivings of workers, rights groups",https://www.japantimes.co.jp/news/2018/10/24/business/tech/amazon-pitched-facial-recognition-ice-monitor-immigrants-amid-misgivings-workers-rights-groups/
"Oct 20, 2018",Khashoggi crisis puts Saudi ties to Silicon Valley businesses under spotlight,https://www.japantimes.co.jp/news/2018/10/20/business/tech/khashoggi-crisis-puts-saudi-ties-silicon-valley-businesses-spotlight/
"Oct 19, 2018","Postman, shopper, builder: In Japan, there's a robot for that",https://www.japantimes.co.jp/news/2018/10/19/business/tech/postman-shopper-builder-japan-theres-robot/
"Oct 18, 2018","Spammers were behind recent Facebook data breach, company tentatively concludes",https://www.japantimes.co.jp/news/2018/10/18/business/tech/spammers-behind-recent-facebook-data-breach-company-tentatively-concludes/
"Oct 18, 2018","Boeing creates unit to focus on super-computing that mimics the brain, hack-proof communications",https://www.japantimes.co.jp/news/2018/10/18/business/tech/boeing-creates-unit-focus-super-computing-mimics-brain-hack-proof-communications/
"Oct 17, 2018",NTT Docomo to launch world's 'thinnest and lightest' phone in November,https://www.japantimes.co.jp/news/2018/10/17/business/tech/ntt-docomo-launch-worlds-thinnest-lightest-phone-november/
"Oct 16, 2018","Firms offer a glimpse of future business models at CEATEC, Japan's biggest electronics trade show",https://www.japantimes.co.jp/news/2018/10/16/business/tech/firms-offer-glimpse-future-business-models-ceatec-japans-biggest-electronics-trade-show/
